,Unnamed: 0,Kommun_code,Year,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
66,67,683,2010,902,438,32833,2717,0.08275211,103.2063,92.940954,0,0
67,68,684,2010,112,75,10830,715,0.06602031,74.83944,11.540339999999999,0,0
68,69,685,2010,659,360,26304,1842,0.07002737,91.73957,67.902537,0,0
69,70,686,2010,218,124,16244,1795,0.11050234,88.10663000000001,22.462448000000002,0,0
70,71,687,2010,397,248,18119,1410,0.07781886,80.22553,40.906384,0,0
71,72,760,2010,55,41,9244,547,0.05917352,67.22837,5.6671309999999995,0,0
72,73,761,2010,217,160,8139,554,0.06806733,67.96941,22.359409,0,0
73,74,763,2010,210,164,12231,834,0.06818739,64.17254,21.638138,0,0
74,75,764,2010,182,126,18802,1432,0.07616211,72.38934,18.753053,0,0
75,76,765,2010,847,853,15603,1511,0.09684035,49.76318,87.273823,0,0
76,77,767,2010,144,89,9619,514,0.05343591,81.08606999999999,14.837579999999999,0,0
77,78,780,2010,3268,1315,83005,12266,0.14777423,124.54608,336.730641,0,0
78,79,781,2010,516,257,27297,2201,0.08063157,100.6214,53.167995999999995,0,0
79,80,821,2010,90,25,5777,365,0.06318158,180.4165,9.273488,0,0
80,81,834,2010,96,64,6962,517,0.07426027,75.17354,9.89172,0,0
81,82,840,2010,240,142,14021,1645,0.11732401,84.70258000000001,24.7293,0,0
82,83,860,2010,151,97,13696,788,0.05753505,78.01516,15.558851999999998,0,0
83,84,861,2010,104,54,12909,943,0.07304981,96.51912,10.71603,0,0
84,85,862,2010,93,63,9187,634,0.06901056,73.98031,9.582604,0,0
85,86,881,2010,333,187,19651,1431,0.07282072,89.24346,34.311904,0,0
86,87,882,2010,482,254,26163,2186,0.08355311,95.10144,49.664678,0,0
87,88,883,2010,804,408,36206,3265,0.09017842,98.7574,82.84315600000001,0,0
88,89,884,2010,531,269,15473,1029,0.06650294,98.92727,54.713577,0,0
89,90,885,2010,203,94,10676,1038,0.09722743,108.22858000000001,20.916867,0,0
90,91,980,2010,1542,767,57269,6203,0.1083134,100.75411,158.88575500000002,1,0
91,92,1060,2010,172,83,12988,733,0.05643671,103.85421,17.722665,0,0
92,93,1080,2010,2037,785,64032,9004,0.14061719,130.04543999999999,209.889937,0,0
93,94,1081,2010,646,262,28254,2813,0.09956112,123.56771,66.563034,1,0
94,95,1082,2010,762,420,31143,3093,0.09931606,90.92419,78.515529,1,0
95,96,1083,2010,254,129,16810,1434,0.08530637,98.67742,26.171843,0,0
96,97,1214,2010,45,40,13242,1109,0.08374868,56.38016,4.636744,0,0
97,98,1230,2010,252,127,22259,3215,0.14443596,99.44216999999999,25.965765,0,0
98,99,1231,2010,1962,928,16701,1639,0.09813784,105.95581000000001,202.162031,0,0
99,100,1233,2010,327,332,33303,5368,0.16118668,49.36094,33.693672,0,0
100,101,1256,2010,71,41,13590,877,0.06453274,86.78572,7.315751,0,0
101,102,1257,2010,113,42,9631,670,0.06956702,134.83508999999998,11.643379,0,0
102,103,1260,2010,182,89,14841,732,0.04932282,102.48378000000001,18.753053,0,0
103,104,1261,2010,1455,559,29013,3911,0.13480164,130.44425,149.92138400000002,0,0
104,105,1262,2010,185,130,21559,4564,0.21169813,71.31849,19.062169,0,0
105,106,1263,2010,202,134,19822,2185,0.11023106,75.54754,20.813828,0,0
106,107,1264,2010,285,122,14981,1242,0.08290501,117.07355,29.366044,0,0
107,108,1265,2010,311,196,18112,1422,0.07851148,79.52031,32.045052,0,0
108,109,1266,2010,112,84,14840,1239,0.08349057,66.82093,11.540339999999999,0,0
109,110,1267,2010,185,139,15460,1851,0.11972833,66.70075,19.062169,0,0
110,111,1270,2010,365,225,12914,958,0.07418306,81.2988,37.609144,0,0
111,112,1272,2010,230,139,12272,869,0.07081160000000002,82.92525,23.698913,0,0
112,113,1273,2010,139,81,12724,895,0.07033952,86.00101,14.322386999999999,0,0
113,114,1275,2010,22,12,7061,434,0.06146438,91.87878,2.266853,0,0
114,115,1276,2010,157,80,16515,1139,0.06896761,98.35205,16.177084,0,0
115,116,1277,2010,876,326,14737,828,0.05618511,134.66672,90.26194699999999,0,0
116,117,1278,2010,267,128,14278,1784,0.12494747,104.53820999999999,27.511346999999997,0,0
117,118,1280,2010,11217,5740,298963,50084,0.16752575,97.93515,1155.7856789999998,1,0
118,119,1281,2010,3438,1561,110488,29233,0.26458077,110.37653,354.247229,0,0
119,120,1282,2010,596,363,41724,3713,0.08898955,82.28362,61.41109599999999,0,0
120,121,1283,2010,5528,3244,129177,16395,0.12691888,85.40061,569.59822,1,0
121,122,1284,2010,193,186,24637,3439,0.13958679999999998,52.00177,19.886479,0,0
122,123,1285,2010,440,243,31587,3066,0.09706525,90.74446999999999,45.337051,0,0
123,124,1286,2010,1011,503,28338,3277,0.11563978,100.72955999999999,104.172178,0,0
124,125,1287,2010,748,367,42219,3725,0.08823042,102.14316,77.072986,1,0
125,126,1290,2010,2739,1285,79543,9507,0.11952026,106.82248,282.223141,0,0
126,127,1291,2010,337,182,19297,2181,0.11302275,92.79665,34.724059000000004,0,0
127,128,1292,2010,952,467,39394,4488,0.11392598,102.16305,98.092892,0,0
128,129,1293,2010,1243,618,50107,4765,0.09509649,100.79905,128.077169,0,0
129,130,1315,2010,190,98,10177,619,0.06082343,97.16308000000001,19.577363000000002,0,0
